LEMID	WFID	SGID	ROOTID	PARENTID	PARENTRES	CORLEMID	LEMMA	SEGMENTATION	POS	FEATS	WFTYPE	PARENTFORM	WFCONSTR	WFPHON	SOURCE
L1	WF1	SG1	R1			ābele	ābele	(āb)-el-e	NOUN		NONE				LVK2018
L10	WF1	SG1	R1	DERIV:L23	DERIV:ābols	ābolaine	ābolaine	(āb)-ol-ain-e	NOUN		DERIV	ābols			LVK2018
L100	WF4	SG6	R8	COMP:lapsa+L64	COMP:UNR+āda	lapsāda	lapsāda	(laps)-(ād)-a	NOUN		COMP	lapsa+āda	"lapsas āda"		LVK2018
L1000	WF26	SG35	R51	COMP:L991+cēlis	COMP:augša+UNR	augšāmcēlis	augšāmcēlis	(augš)-ām-(cēl)-is	VERB	VerbForm=Part	COMP	augša+cēlis	"augšām cēlis"		LVK2018
L1001	WF26	SG35	R51	COMP:L991+bjefs	COMP:augša+UNR	augšbjefs	augšbjefs	(augš)-(bjef)-s	NOUN		COMP	augša+bjefs	"augšas bjefs"		LVK2018
L1002	WF245,WF26	SG270,SG35	R403,R51	COMP:L991+L5028	COMP:augša+daļa	augšdaļa	augšdaļa	(augš)-(daļ)-a	NOUN		COMP	augša+daļa	"augšas daļa"		LVK2018
L1003	WF26	SG35	R51	COMP:L991+Daugava	COMP:augša+UNR	Augšdaugava	Augšdaugava	(Augš)-(daug)-av-a	PROPN		COMP	augša+Daugava	"augšas Daugava"		LVK2018
L1004	WF26	SG35	R51	COMP:L991+delms	COMP:augša+UNR	augšdelms	augšdelms	(augš)-(delm)-s	NOUN		COMP	augša+delms	"augšas delms"		LVK2018
L1005	WF26	SG35	R51	COMP:L991+Ēģipte	COMP:augša+UNR	Augšēģipte	Augšēģipte	(Augš)-(ēģipt)-e	PROPN		COMP	augša+Ēģipte	"augšas Ēģipte"		LVK2018
L1006	WF26	SG35	R51	DERIV:L991	DERIV:augša	augšējais	augšējais	(augš)-ēj-ais	ADJ		DERIV	augša			LVK2018
L1007	WF26	SG35	R51	COMP:L991+gals	COMP:augša+UNR	augšgals	augšgals	(augš)-(gal)-s	NOUN		COMP	augša+gals	"augšas gals"		LVK2018
L1008	WF26	SG35	R51	COMP:L991+iela	COMP:augša+UNR	Augšiela	Augšiela	(Augš)-(ie)-l-a	PROPN		COMP	augša+iela	"augšas iela"		LVK2018
L1009	WF26	SG35	R51	DERIV:augšs	DERIV:UNR	augšiene	augšiene	(augš)-ien-e	NOUN		DERIV	augšs			LVK2018
L101	WF4	SG6	R8	COMP:lācis+L64	COMP:UNR+āda	lāčāda	lāčāda	(lāč)-(ād)-a	NOUN		COMP	lācis+āda	"lāča āda"		LVK2018
L1010	WF26	SG35	R51	DERIV:L991	DERIV:augša	augšiņa	augšiņa	(augš)-iņ-a	NOUN		DERIV	augša			LVK2018
L1011	WF26	SG35	R51	COMP:L990+lēku	COMP:augš+UNR	augšlēks	augšlēku	(augš)-(lēk)-u	ADV		COMP	augš+lēku	"augš lēku"		LVK2018
L1012	WF26	SG35	R51	COMP:L991+Līgatne	COMP:augša+UNR	Augšlīgatne	Augšlīgatne	(Augš)-(līg)-atn-e	PROPN		COMP	augša+Līgatne	"augšas Līgatne"		LVK2018
L1013	WF26	SG35	R51	COMP:L991+lūpa	COMP:augša+UNR	augšlūpa	augšlūpa	(augš)-(lūp)-a	NOUN		COMP	augša+lūpa	"augšas lūpa"		LVK2018
L1014	WF26	SG35	R51	COMP:L991+mala	COMP:augša+UNR	augšmala	augšmala	(augš)-(mal)-a	NOUN		COMP	augša+mala	"augšas mala"		LVK2018
L1015	WF26	SG35	R51	COMP:L993+minēts	COMP:augšā+UNR	augšminēts	augšminēts	(augš)-(min)-ē-t-s	VERB	VerbForm=Part	COMP	augšā+minēts	"augšā minēts"		LVK2018
L1016	WF26	SG35	R51	COMP:L991+nams	COMP:augša+UNR	augšnams	augšnams	(augš)-(nam)-s	NOUN		COMP	augša+nams	"augšas nams"		LVK2018
L1017	WF26	SG35	R51	COMP:L991+Nīla	COMP:augša+UNR	Augšnīla	Augšnīla	(Augš)-(nīl)-a	PROPN		COMP	augša+Nīla	"augšas Nīla"		LVK2018
L1018	WF26	SG35	R51	COMP:L991+palāta	COMP:augša+UNR	augšpalāta	augšpalāta	(augš)-(palāt)-a	NOUN		COMP	augša+palāta	"augšas palāta"		LVK2018
L1019	WF26	SG35	R51	COMP:L990+pēdu	COMP:augš+UNR	augšpēdu	augšpēdu	(augš)-(pēd)-u	ADV		COMP	augš+pēdu	"augš pēdu"		LVK2018
L102	WF4	SG6	R8	COMP:lūsis+L64	COMP:UNR+āda	lūšāda	lūšāda	(lūš)-(ād)-a	NOUN		COMP	lūsis+āda	"lūša āda"		LVK2018
L1020	WF26	SG35	R51	COMP:L990+pēdus	COMP:augš+UNR	augšpēdus	augšpēdus	(augš)-(pēd)-us	ADV		COMP	augš+pēdus	"augš pēdus"		LVK2018
L1021	WF26	SG35	R51	DERIV:L1022	DERIV:augšpuse	augšpus	augšpus	(augš)-(pus)	ADP		DERIV	augšpuse			LVK2018
L1022	WF26	SG35	R51	COMP:L991+puse	COMP:augša+UNR	augšpuse	augšpuse	(augš)-(pus)-e	NOUN		COMP	augša+puse	"augšas puse"		LVK2018
L1023	WF26	SG35	R51	COMP:L991+stāvs	COMP:augša+UNR	augšstāvs	augšstāvs	(augš)-(stā)-v-s	NOUN		COMP	augša+stāvs	"augšas stāvs"		LVK2018
L1024	WF26	SG35	R51	COMP:L991+stilbs	COMP:augša+UNR	augšstilbs	augšstilbs	(augš)-(stilb)-s	NOUN		COMP	augša+stilbs	"augšas stilbs"		LVK2018
L1025	WF26	SG35	R51	COMP:L991+Tampere	COMP:augša+UNR	Augštampere	Augštampere	(Augš)-(tamper)-e	PROPN		COMP	augša+Tampere	"augšas Tampere"		LVK2018
L1026	WF26	SG35	R51	COMP:L991+tece	COMP:augša+UNR	augštece	augštece	(augš)-(tec)-e	NOUN		COMP	augša+tece	"augšas tece"		LVK2018
L1027	WF26	SG35	R51	DERIV:L991	DERIV:augša	augšup	augšup	(augš)-up	ADV		DERIV	augša			LVK2018
