MORPHID	MORPHTYPE	FORM	WFID	SGID	SG_LABEL	STRATUM	DEPTH	WF_LABEL	PROVENANCE	ROOTLEMMAS
R1	ROOT_SG	āb	WF1	SG1	āb		0	zero-element	SG_ROOT	L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35;L36;L37;L38;L39;L40;L41;L42;L43;L44;L45;L46;L47;L48
R2	ROOT_SG	apel	WF1	SG2	apel	BORROWED	0	zero-element	SG_ROOT	L49;L50;L51;L52
R3	ROOT_SG	apfel	WF1	SG3	apfel	BORROWED	0	zero-element	SG_ROOT	L53;L54
R4	ROOT_SG	ābec	WF2	SG4	ābec, ābeč, ābic		0	ābec, ābeč, ābic	SG_ROOT	L55;L56
R5	ROOT_SG	ābeč	WF2	SG4	ābec, ābeč, ābic		0	ābec, ābeč, ābic	SG_ROOT	L57;L58;L59
R6	ROOT_SG	ābic	WF2	SG4	ābec, ābeč, ābic		0	ābec, ābeč, ābic	SG_ROOT	L60
R7	ROOT_SG	ābel	WF3	SG5	ābel	BORROWED	0	ābel	SG_ROOT	L61
R8	ROOT_SG	ād	WF4	SG6	ād		0	ād	SG_ROOT	L62;L63;L64;L65;L66;L67;L68;L69;L70;L71;L72;L73;L74;L75;L76;L77;L78;L79;L80;L81;L82;L83;L84;L85;L86;L87;L88;L89;L90;L91;L92;L93;L94;L95;L96;L97;L98;L99;L100;L101;L102;L103;L104;L105;L106;L107;L108;L109;L110;L111;L112;L113;L114;L115;L116;L117;L118;L119;L120;L121;L122;L123;L124;L125;L126;L127;L128;L129;L130
R9	ROOT_SG	āķ	WF5	SG7	āķ	BORROWED	0	āķ	SG_ROOT	L131;L132;L133;L134;L135;L136;L137;L138;L139;L140;L141;L142;L143;L144;L145;L146;L147;L148;L149;L150;L151;L152;L153;L154;L155;L156;L157;L158;L159;L160;L161;L162;L163;L164;L165;L166;L167;L168;L169;L170;L171;L172;L173;L174;L175;L176;L177
R10	ROOT_SG	ārst	WF6	SG8	ārst	BORROWED	0	ārst	SG_ROOT	L178;L179;L180;L181;L182;L183;L184;L185;L186;L187;L188;L189;L190;L191;L192;L193;L194;L195;L196;L197;L198;L199;L200;L201;L202;L203;L204;L205;L206;L207;L208;L209;L210;L211;L212;L213;L214;L215;L216;L217
R11	ROOT_SG	ātr	WF7	SG9	ātr		0	ātr	SG_ROOT	L218;L219;L220;L221;L222;L223;L224;L225;L226;L227;L228;L229;L230;L231;L232;L233;L234;L235;L236;L237;L238;L239;L240;L241;L242;L243;L244;L245;L246;L247;L248;L249;L250;L251;L252;L253;L254;L255;L256;L257;L258;L259;L260;L261;L262;L263
R12	ROOT_SG	ātrij	WF8	SG10	ātrij	BORROWED	0	ātrij	SG_ROOT	L264
R13	ROOT_SG	ac	WF9	SG11	ac, ač, ak		0	zero-element	SG_ROOT	L265;L266;L267;L268;L269;L270;L271;L272;L273;L274;L275;L276;L277;L278;L279;L280;L281;L282;L283;L284;L285;L286;L287;L288;L289;L290;L291;L292;L293;L294;L295;L296;L297;L298;L299;L300;L301;L302;L303;L304;L305;L306;L307;L308;L309;L310;L311;L312;L313;L314;L315;L316;L317;L318;L319;L320;L321;L322;L323;L324;L325;L326;L327;L328;L329;L330;L331;L332;L333;L334;L335;L336;L337;L338;L339;L340;L341;L342;L343;L344;L345;L346;L347;L348;L349;L350;L351;L352;L353;L354;L355;L356;L357;L358;L359;L360;L361;L362;L363;L364;L365;L366;L367;L368;L369;L370;L371;L372;L373;L374;L375;L376;L377;L378;L379;L380;L381;L393;L394;L395;L396
R14	ROOT_SG	ač	WF9	SG11	ac, ač, ak		0	zero-element	SG_ROOT	L382;L383;L384;L385;L386;L387;L388;L389;L390;L391;L392;L397;L398
R15	ROOT_SG	ak	WF9	SG11	ac, ač, ak		0	zero-element	SG_ROOT	L399;L400;L401;L402;L403;L404;L405;L406;L407;L408;L409;L410;L411;L412
R16	ROOT_SG	ikv	WF9	SG12	ikv, īk, igv	BORROWED	0	zero-element	SG_ROOT	L413;L414
R17	ROOT_SG	īk	WF9	SG12	ikv, īk, igv	BORROWED	0	zero-element	SG_ROOT	L415
R18	ROOT_SG	igv	WF9	SG12	ikv, īk, igv	BORROWED	0	zero-element	SG_ROOT	L416
R19	ROOT_SG	op	WF9	SG13	op, oftalm	BORROWED	0	zero-element	SG_ROOT	L417;L418;L419;L420;L421;L422;L423;L424;L425;L426;L427;L428;L429;L430;L431;L432;L433;L434;L435
R20	ROOT_SG	oftalm	WF9	SG13	op, oftalm	BORROWED	0	zero-element	SG_ROOT	L436;L437;L438;L439;L440;L441
R21	ROOT_SG	ok	WF9	SG14	ok	BORROWED	0	zero-element	SG_ROOT	L442;L443;L444;L445;L446;L447;L448;L449;L450;L451;L452
R22	ROOT_SG	asin	WF10	SG15	asin, asiņ, asen, aseņ		0	asin, asiņ, asen, aseņ	SG_ROOT	L453;L454;L455;L456;L457;L458;L459;L460;L461;L462;L463;L464;L465;L466;L467;L468;L469;L470;L471;L472;L473;L474;L475;L476;L477;L478;L479;L480;L481;L482;L483;L484;L485;L486;L487;L488;L489;L490;L491;L492;L493;L494;L495;L496;L497;L498;L499;L500;L501;L502;L503;L504;L505;L506;L507;L508;L509;L510;L511;L512;L513;L514;L515;L516;L517;L518;L519;L520;L521;L522;L523;L524;L525;L526;L527;L528;L529;L530;L532;L533;L535;L536;L537
R23	ROOT_SG	asiņ	WF10	SG15	asin, asiņ, asen, aseņ		0	asin, asiņ, asen, aseņ	SG_ROOT	L531;L534;L538;L539;L540;L541;L542;L543;L544;L545;L546;L547;L548;L549;L550;L551;L552;L553;L554;L555;L556;L557;L558
R24	ROOT_SG	asen	WF10	SG15	asin, asiņ, asen, aseņ		0	asin, asiņ, asen, aseņ	SG_ROOT	L559;L561
R25	ROOT_SG	aseņ	WF10	SG15	asin, asiņ, asen, aseņ		0	asin, asiņ, asen, aseņ	SG_ROOT	L560
R26	ROOT_SG	asen	WF11	SG16	asen	BORROWED	0	asen	SG_ROOT	L562
R27	ROOT_SG	asto	WF12	SG17	asto, astoņ, as		0	asto, astoņ, as	SG_ROOT	L600;L601;L602;L603;L604;L605;L606;L607;L608
R28	ROOT_SG	astoņ	WF12	SG17	asto, astoņ, as		0	asto, astoņ, as	SG_ROOT	L563;L564;L565;L566;L567;L568;L569;L570;L571;L572;L573;L574;L575;L576;L577;L578;L579;L580;L581;L582;L583;L584;L585;L586;L587;L588;L589;L590;L591;L592;L593;L594;L595;L596;L597;L598;L599
R29	ROOT_SG	as	WF12	SG17	asto, astoņ, as		0	asto, astoņ, as	SG_ROOT	L609
R30	ROOT_SG	as	WF13	SG18	as		0	zero-element	SG_ROOT	L610;L611;L612;L613;L614;L615;L616;L617
R31	ROOT_SG	aks	WF13	SG19	aks	BORROWED	0	zero-element	SG_ROOT	L618
R32	ROOT_SG	aks	WF13	SG20	aks	BORROWED	0	zero-element	SG_ROOT	L619;L620
R33	ROOT_SG	asa	WF14	SG21	asa	BORROWED	0	asa	SG_ROOT	L621
R34	ROOT_SG	asam	WF15	SG22	asam	BORROWED	0	asam	SG_ROOT	L622
R35	ROOT_SG	asar	WF16	SG23	asar		0	asar	SG_ROOT	L623;L624;L625;L626;L627;L628;L629;L630;L631;L632;L633;L634
R36	ROOT_SG	asen	WF17	SG24	asen	BORROWED	0	asen	SG_ROOT	L635
R37	ROOT_SG	asfalt	WF18	SG25	asfalt	BORROWED	0	asfalt	SG_ROOT	L636;L637;L638;L639;L640;L641;L642;L643;L644;L645;L646;L647;L648
R38	ROOT_SG	asīr	WF19	SG26	asīr	BORROWED	0	asīr	SG_ROOT	L649;L650
R39	ROOT_SG	asīt	WF20	SG27	asīt		0	asīt	SG_ROOT	L651
R40	ROOT_SG	asīz	WF21	SG28	asīz	BORROWED	0	asīz	SG_ROOT	L652
R41	ROOT_SG	asj	WF22	SG29	asj	BORROWED	0	asj	SG_ROOT	L653
R42	ROOT_SG	askē	WF23	SG30	askē	BORROWED	0	askē	SG_ROOT	L654;L655;L656;L657;L658;L659
R43	ROOT_SG	asklēp	WF24	SG31	asklēp, eskulap, eskulāp	BORROWED	0	asklēp, eskulap, eskulāp	SG_ROOT	L660;L661
R44	ROOT_SG	eskulap	WF24	SG31	asklēp, eskulap, eskulāp	BORROWED	0	asklēp, eskulap, eskulāp	SG_ROOT	L662
R45	ROOT_SG	eskulāp	WF24	SG31	asklēp, eskulap, eskulāp	BORROWED	0	asklēp, eskulap, eskulāp	SG_ROOT	L663
R46	ROOT_SG	ask	WF25	SG32	ask	BORROWED	0	ask	SG_ROOT	L664
R47	ROOT_SG	aug	WF26	SG33	aug, audz, audž		0	zero-element	SG_ROOT	L665;L666;L667;L668;L669;L670;L671;L672;L673;L674;L675;L676;L677;L678;L679;L680;L681;L682;L683;L684;L685;L686;L687;L688;L689;L690;L691;L692;L693;L694;L695;L696;L697;L698;L699;L700;L701;L702;L703;L704;L705;L706;L707;L708;L709;L710;L711;L712;L713;L714;L715;L716;L717;L718;L719;L720;L721;L722;L723;L724;L725;L726;L727;L728;L729;L730;L731;L732;L733;L734;L735;L736;L737;L738;L739;L740;L741;L742;L743;L744;L745;L746;L747;L748;L750;L751;L752;L753;L754;L755;L756;L757;L758;L759;L760;L761;L762;L763;L764;L765;L766;L767;L768;L769;L770;L771;L772;L773;L774;L776;L777;L778;L779;L780;L781;L782;L783;L784;L785;L786;L787;L788;L789;L790;L791;L792;L793;L794;L795;L796;L797;L798;L799;L800
R48	ROOT_SG	audz	WF26	SG33	aug, audz, audž		0	zero-element	SG_ROOT	L749;L775;L801;L802;L803;L804;L805;L806;L807;L808;L809;L810;L811;L812;L813;L814;L815;L816;L817;L818;L819;L820;L821;L822;L823;L824;L825;L826;L827;L828;L829;L830;L831;L220;L832;L833;L834;L835;L836;L837;L838;L839;L840;L841;L842;L843;L844;L845;L846;L847;L848;L849;L850;L851;L852;L853;L854;L855;L856;L857;L858;L859;L860;L861;L862;L863;L864;L865;L866;L867;L868;L869;L870;L871;L872;L873;L874;L875;L876;L877;L878;L879;L880;L881;L882;L883;L884;L885;L886;L887;L888;L889;L890;L891;L892;L893;L894;L895;L896;L897;L898;L899;L900;L901;L902;L903;L904;L905;L906;L907;L908;L909;L910
R49	ROOT_SG	audž	WF26	SG33	aug, audz, audž		0	zero-element	SG_ROOT	L911;L912;L913;L914;L915;L916;L917;L918;L919;L920
R50	ROOT_SG	augst	WF26	SG34	augst		1	zero-element	SG_ROOT	L921;L922;L923;L924;L925;L926;L927;L928;L929;L930;L931;L932;L933;L934;L935;L936;L937;L938;L939;L940;L941;L942;L943;L944;L945;L946;L947;L948;L949;L950;L951;L952;L953;L954;L955;L956;L957;L958;L959;L960;L961;L962;L963;L964;L965;L966;L967;L968;L969;L970;L971;L972;L973;L974;L975;L976;L977;L978;L979;L980;L981;L982;L983;L984;L985;L986;L987;L988;L989
R51	ROOT_SG	augš	WF26	SG35	augš		1	zero-element	SG_ROOT	L990;L991;L992;L993;L994;L995;L996;L997;L998;L999;L1000;L1001;L1002;L1003;L1004;L1005;L1006;L1007;L1008;L1009;L1010;L1011;L1012;L1013;L1014;L1015;L1016;L1017;L1018;L1019;L1020;L1021;L1022;L1023;L1024;L1025;L1026;L1027;L1028;L1029;L1030;L1031;L1032;L1033;L1034;L1035;L1036;L1037;L1038;L1039;L1040;L1041;L1042;L1043;L1044;L1045;L1046;L1047;L1048;L1049;L1050;L1051
R52	ROOT_SG	aug	WF26	SG36	aug, au, og	BORROWED	0	zero-element	SG_ROOT	L1097;L1098;L1099;L1100;L1101;L1102;L1103;L1104;L1105;L1106;L1107;L1108;L1109;L1110
R53	ROOT_SG	au	WF26	SG36	aug, au, og	BORROWED	0	zero-element	SG_ROOT	L1052;L1053;L1054;L1055;L1056;L1057;L1058;L1059;L1060;L1061;L1062;L1063;L1064;L1065;L1066;L1067;L1068;L1069;L1070;L1071;L1072;L1073;L1074;L1075;L1076;L1077;L1078;L1079;L1080;L1081;L1082;L1083;L1084;L1085;L1086;L1087;L1088;L1089;L1090;L1091;L1092;L1093;L1094;L1095;L1096
R54	ROOT_SG	og	WF26	SG36	aug, au, og	BORROWED	0	zero-element	SG_ROOT	L1111;L1112;L1113;L1114
R55	ROOT_SG	aut	WF27	SG37	aut	BORROWED	0	aut	SG_ROOT	L1115;L1116;L1117;L1118;L1119;L1120;L1121;L1122;L1123;L1124;L1125;L1126;L1127;L418;L1128;L1129;L1130;L1131;L1132;L1133;L1134;L1135;L1136;L1137;L1138;L1139;L1140;L1141;L1142;L1143;L1144;L1145;L1146;L1147;L1148;L1149;L1150;L1151;L1152;L1153;L1154;L1155;L1156;L1157;L1158;L1159;L1160;L1161;L1162;L1163;L1164;L1165;L1166;L1167;L1168;L1169;L1170;L1171;L1172;L1173;L1174;L1175;L1176;L1177;L1178;L1179;L1180;L1181;L1182;L1183;L1184;L1185;L1186;L1187;L1188;L1189;L1190;L1191;L1192;L1193;L1194;L1195;L1196;L1197;L1198;L1199;L1200;L1201;L1202;L1203;L1204;L1205;L1206;L1207;L1208;L1209;L1210;L1211;L1212;L1213;L1214;L1215;L1216;L1217;L1218;L1219;L1220;L1221;L1222;L1223;L1224;L1225;L1226;L1227;L1228;L1229;L1230;L1231;L1232;L1233;L1234;L1235;L1236;L1237;L1238;L1239;L1240;L1241;L1242;L1243;L1244;L1245;L1246;L1247;L1248;L1249;L1250;L1251;L1252;L1253;L1254;L1255;L1256;L1257;L1258;L1259;L1260;L1261;L1262;L1263;L1264;L1265;L1266;L1267;L1268;L1269;L1270;L1271;L1272;L1273;L1274;L1275;L1276;L1277;L1278;L1279;L1280;L1281;L1282;L1283;L1284;L1285;L1286;L1287;L1288;L1289;L1290;L1291;L1292;L1293;L1294;L1295;L1296;L1297;L1298;L1299;L1300;L1301;L1302;L1303;L1304;L1305;L1306;L1307;L1308;L1309;L1310;L1311;L1312;L1313;L1314;L1315;L1316;L1317;L1318;L1319;L1320;L1321;L1322;L1323;L1324;L1325;L1326;L1327;L1328;L1329;L1330;L1331;L1332;L1333;L1334;L1335;L1336;L1337;L1338;L1339;L1340;L1341
