LEMID	WFID	SGID	ROOTID	PARENTID	PARENTRES	CORLEMID	LEMMA	SEGMENTATION	POS	FEATS	WFTYPE	PARENTFORM	WFCONSTR	WFPHON	SOURCE
L3298	WF160	SG181	R265	DERIV:L3302	DERIV:apbrīnot	apbrīna	apbrīna	ap-(brīn)-a	NOUN		DERIV	apbrīnot			LVK2018
L3299	WF160	SG181	R265	DERIV:L3300	DERIV:apbrīnojams	apbrīnojami	apbrīnojami	ap-(brīn)-o-j-am-i	ADV		DERIV	apbrīnojams			LVK2018
L33	WF1,WF160	SG1,SG181	R1,R265	COMP:L3344+L23	COMP:brīnums+ābols	brīnumābols	brīnumābols	(brīn)-um-(āb)-ol-s	NOUN		COMP	brīnums+ābols	"brīnuma ābols"		LVK2018
L330	WF9	SG11	R13	COMP:rubīns+L277	COMP:UNR+acs	rubīnacs	rubīnacs	(rubīn)-ac-s	NOUN		COMP	rubīns+acs	"rubīna acs"		LVK2018
L3300	WF160	SG181	R265	DERIV:L3302	DERIV:apbrīnot	apbrīnojams	apbrīnojams	ap-(brīn)-o-j-am-s	VERB	VerbForm=Part	DERIV	apbrīnot		apbrīnoju	LVK2018
L3301	WF160	SG181	R265	DERIV:L3302	DERIV:apbrīnot	apbrīnošana	apbrīnošana	ap-(brīn)-o-šan-a	NOUN		DERIV	apbrīnot			LVK2018
L3302	WF160	SG181	R265	DERIV:brīnot	DERIV:UNR	apbrīnot	apbrīnot	ap-(brīn)-o-t	VERB		DERIV	brīnot			LVK2018
L3303	WF160	SG181	R265	DERIV:L3302	DERIV:apbrīnot	apbrīnotājs	apbrīnotājs	ap-(brīn)-o-tāj-s	NOUN		DERIV	apbrīnot			LVK2018
L3304	WF160	SG181	R265	DERIV:L3302	DERIV:apbrīnot	apbrīns	apbrīns	ap-(brīn)-s	NOUN		DERIV	apbrīnot			LVK2018
L3305	WF160	SG181	R265	DERIV:brīnēt	DERIV:UNR	brīnēdams	brīnēties	(brīn)-ē-ties	VERB		DERIV	brīnēt			LVK2018
L3306	WF160	SG181	R265	DERIV:L3309	DERIV:brīnišķs	brīnišķi	brīnišķi	(brīn)-išķ-i	ADV		DERIV	brīnišķs			LVK2018
L3307	WF160	SG181	R265	DERIV:L3308	DERIV:brīnišķīgs	brīnišķīgi	brīnišķīgi	(brīn)-išķ-īg-i	ADV		DERIV	brīnišķīgs			LVK2018
L3308	WF160	SG181	R265	DERIV:L3309	DERIV:brīnišķs	brīnišķīgs	brīnišķīgs	(brīn)-išķ-īg-s	ADJ		DERIV	brīnišķs			LVK2018
L3309	WF160	SG181	R265	DERIV:L3313	DERIV:brīns	brīnišķs	brīnišķs	(brīn)-išķ-s	ADJ		DERIV	brīns			LVK2018
L331	WF9	SG11	R13	DERIV:L334	DERIV:sarkanacu	sarkanacains_adj	sarkanacains	(sark)-an-(ac)-ain-s	ADJ		DERIV	sarkanacu			Tīmeklis2020
L3310	WF160	SG181	R265	DERIV:L3312	DERIV:brīnīties	brīnīdamies	brīnīdamies	(brīn)-ī-dam-ies	VERB	VerbForm=Part	DERIV	brīnīties			LVK2018
L3311	WF160	SG181	R265	DERIV:L3312	DERIV:brīnīties	brīnīšanās	brīnīšanās	(brīn)-ī-šan-ās	NOUN		DERIV	brīnīties			LVK2018
